"","ROI","pval","coef","adj_p","sign"
"1","lh_bankssts_thickness",0.0184077819468213,0.133620505104205,1,"Non-signif"
"2","lh_caudalanteriorcingulate_thickness",0.825086920777667,0.0136925626747218,1,"Non-signif"
"3","lh_caudalmiddlefrontal_thickness",0.251125235786961,0.0521417618213368,1,"Non-signif"
"4","lh_cuneus_thickness",0.80417978434947,0.0148384521952038,1,"Non-signif"
"5","lh_entorhinal_thickness",0.841705095829465,-0.0138987114648294,1,"Non-signif"
"6","lh_fusiform_thickness",0.671616753260792,0.0223562992555629,1,"Non-signif"
"7","lh_inferiorparietal_thickness",0.750801207256719,-0.0145618696051228,1,"Non-signif"
"8","lh_inferiortemporal_thickness",0.635809627029967,0.0279146682147292,1,"Non-signif"
"9","lh_isthmuscingulate_thickness",0.787389850146233,0.0182528117009236,1,"Non-signif"
"10","lh_lateraloccipital_thickness",0.00719762464334725,0.135699843486808,0.489438475747613,"Non-signif"
"11","lh_lateralorbitofrontal_thickness",0.319858684586905,0.0511869522790843,1,"Non-signif"
"12","lh_lingual_thickness",0.755326307451242,0.01673249595762,1,"Non-signif"
"13","lh_medialorbitofrontal_thickness",0.014117945933261,0.153628000146131,0.960020323461751,"Non-signif"
"14","lh_middletemporal_thickness",0.946344525470505,-0.003414536814284,1,"Non-signif"
"15","lh_parahippocampal_thickness",0.314339734991933,-0.0670287415872987,1,"Non-signif"
"16","lh_paracentral_thickness",0.121884536524447,-0.0855826302470504,1,"Non-signif"
"17","lh_parsopercularis_thickness",0.822437490809536,-0.0124568973961601,1,"Non-signif"
"18","lh_parsorbitalis_thickness",0.174465416485339,-0.0765713251677046,1,"Non-signif"
"19","lh_parstriangularis_thickness",0.772095670980851,0.01535872797116,1,"Non-signif"
"20","lh_pericalcarine_thickness",0.977879158885783,-0.00172834225342325,1,"Non-signif"
"21","lh_postcentral_thickness",0.685018908296963,0.0222377576662791,1,"Non-signif"
"22","lh_posteriorcingulate_thickness",0.0488816562909077,0.123261945230638,1,"Non-signif"
"23","lh_precentral_thickness",0.132905233868868,-0.0798309266111545,1,"Non-signif"
"24","lh_precuneus_thickness",0.904142719987678,-0.00569670582353055,1,"Non-signif"
"25","lh_rostralanteriorcingulate_thickness",0.0848312635781295,-0.101366200717174,1,"Non-signif"
"26","lh_rostralmiddlefrontal_thickness",0.25553029727845,0.0455161302854447,1,"Non-signif"
"27","lh_superiorfrontal_thickness",0.550979096338798,-0.025751598929615,1,"Non-signif"
"28","lh_superiorparietal_thickness",0.0438661337737474,-0.0933077697938465,1,"Non-signif"
"29","lh_superiortemporal_thickness",0.0180968487476563,0.119132904708969,1,"Non-signif"
"30","lh_supramarginal_thickness",0.678573221891085,-0.0197589481168971,1,"Non-signif"
"31","lh_frontalpole_thickness",0.830917615942052,-0.0128928502769913,1,"Non-signif"
"32","lh_temporalpole_thickness",0.515223927831056,-0.0449585774696818,1,"Non-signif"
"33","lh_transversetemporal_thickness",0.356972874126652,-0.0536103223084328,1,"Non-signif"
"34","lh_insula_thickness",0.965447207912003,0.00259943895033662,1,"Non-signif"
"35","rh_bankssts_thickness",0.773208808165107,0.0176670766080396,1,"Non-signif"
"36","rh_caudalanteriorcingulate_thickness",0.530807566539935,0.0399796551395763,1,"Non-signif"
"37","rh_caudalmiddlefrontal_thickness",0.198703431921883,-0.0686241192260868,1,"Non-signif"
"38","rh_cuneus_thickness",0.843170719040209,-0.0109860167459797,1,"Non-signif"
"39","rh_entorhinal_thickness",0.425743202852833,-0.0561320367921121,1,"Non-signif"
"40","rh_fusiform_thickness",0.298476702881986,-0.0563236572825596,1,"Non-signif"
"41","rh_inferiorparietal_thickness",0.442615808203501,-0.0337744416888777,1,"Non-signif"
"42","rh_inferiortemporal_thickness",0.559704616019437,0.0335570637690787,1,"Non-signif"
"43","rh_isthmuscingulate_thickness",0.569850301458346,-0.0402727099250365,1,"Non-signif"
"44","rh_lateraloccipital_thickness",0.703678358634876,0.018264614306921,1,"Non-signif"
"45","rh_lateralorbitofrontal_thickness",0.566027654116946,0.0299471231893449,1,"Non-signif"
"46","rh_lingual_thickness",0.0606485495991971,0.0958936092116299,1,"Non-signif"
"47","rh_medialorbitofrontal_thickness",0.540413687599737,0.0373167227610859,1,"Non-signif"
"48","rh_middletemporal_thickness",0.219596518089509,-0.0619064909054953,1,"Non-signif"
"49","rh_parahippocampal_thickness",0.00662798924450279,-0.178570963618286,0.45070326862619,"Non-signif"
"50","rh_paracentral_thickness",0.000604528916119614,-0.185279467598171,0.0411079662961337,"adj-p < 0.05"
"51","rh_parsopercularis_thickness",0.809867829019486,-0.014427740326245,1,"Non-signif"
"52","rh_parsorbitalis_thickness",0.0282272178954914,0.125882886174261,1,"Non-signif"
"53","rh_parstriangularis_thickness",0.503414687827352,-0.03482458197508,1,"Non-signif"
"54","rh_pericalcarine_thickness",0.0883014102693262,-0.100797593628666,1,"Non-signif"
"55","rh_postcentral_thickness",0.526996442637008,-0.0346141257235517,1,"Non-signif"
"56","rh_posteriorcingulate_thickness",0.0560842283331028,0.118588417024196,1,"Non-signif"
"57","rh_precentral_thickness",0.0275302133873602,-0.123666220495596,1,"Non-signif"
"58","rh_precuneus_thickness",0.826109987547654,0.00999728039710103,1,"Non-signif"
"59","rh_rostralanteriorcingulate_thickness",0.598509215327672,0.0325827897251868,1,"Non-signif"
"60","rh_rostralmiddlefrontal_thickness",0.075330105491882,0.0730537426436303,1,"Non-signif"
"61","rh_superiorfrontal_thickness",0.164943650749036,-0.0619519395391069,1,"Non-signif"
"62","rh_superiorparietal_thickness",0.0340650857320325,-0.098415637893685,1,"Non-signif"
"63","rh_superiortemporal_thickness",0.00252419800061807,0.15501565298385,0.171645464042029,"Non-signif"
"64","rh_supramarginal_thickness",0.592223741551547,-0.0240861583040971,1,"Non-signif"
"65","rh_frontalpole_thickness",0.834121738289171,0.0131147456179393,1,"Non-signif"
"66","rh_temporalpole_thickness",0.731840979779571,-0.0223968380459984,1,"Non-signif"
"67","rh_transversetemporal_thickness",0.00516594028302192,0.165053423093634,0.35128393924549,"Non-signif"
"68","rh_insula_thickness",0.799683720241711,-0.0146183659967954,1,"Non-signif"
