"","ROI","pval","coef","adj_p"
"1","lh_bankssts_thickness",0.895462562282602,0.0163029724544244,1
"2","lh_caudalanteriorcingulate_thickness",0.54029432236322,0.092548594963597,1
"3","lh_caudalmiddlefrontal_thickness",0.0957001979359786,0.160048166616386,1
"4","lh_cuneus_thickness",0.916517729468977,-0.0125580963771269,1
"5","lh_entorhinal_thickness",0.463251374164951,0.0972084649437685,1
"6","lh_fusiform_thickness",0.622382918416264,0.0469560438713692,1
"7","lh_inferiorparietal_thickness",0.487236343768124,-0.0641652605779541,1
"8","lh_inferiortemporal_thickness",0.309084228869874,-0.108523948148079,1
"9","lh_isthmuscingulate_thickness",0.175224852683679,-0.195802319707737,1
"10","lh_lateraloccipital_thickness",0.273154181204788,-0.10975543826897,1
"11","lh_lateralorbitofrontal_thickness",0.695619650050348,0.0399327837574628,1
"12","lh_lingual_thickness",0.498715935246286,-0.0755033667301949,1
"13","lh_medialorbitofrontal_thickness",0.356569393956289,0.112120359564074,1
"14","lh_middletemporal_thickness",0.000792838532880162,-0.356696161885627,0.053913020235851
"15","lh_parahippocampal_thickness",0.737790989265344,0.0488183163153433,1
"16","lh_paracentral_thickness",0.0899484907211838,0.180865014147924,1
"17","lh_parsopercularis_thickness",0.29358513168351,-0.111021676123223,1
"18","lh_parsorbitalis_thickness",0.852219723307204,0.0238545297810204,1
"19","lh_parstriangularis_thickness",0.493311791943029,-0.07703171835643,1
"20","lh_pericalcarine_thickness",0.938669843227786,-0.00966551212679177,1
"21","lh_postcentral_thickness",0.774296443171394,-0.0306448134156874,1
"22","lh_posteriorcingulate_thickness",0.835177430611701,-0.028794816029066,1
"23","lh_precentral_thickness",0.0145216500222957,0.244533455220046,0.987472201516108
"24","lh_precuneus_thickness",0.831925142097304,0.0192314457404553,1
"25","lh_rostralanteriorcingulate_thickness",0.547314599748695,-0.0802686493575259,1
"26","lh_rostralmiddlefrontal_thickness",0.459056781766739,0.0664064815343073,1
"27","lh_superiorfrontal_thickness",0.430019465039818,0.0677926793981688,1
"28","lh_superiorparietal_thickness",0.0983889040858228,0.140655951944074,1
"29","lh_superiortemporal_thickness",0.240921812133023,0.121781527274682,1
"30","lh_supramarginal_thickness",0.792206662876161,-0.0243893013676997,1
"31","lh_frontalpole_thickness",0.195560391735839,0.191951303028805,1
"32","lh_temporalpole_thickness",0.0131654408922933,0.327912857217537,0.895249980675946
"33","lh_transversetemporal_thickness",0.171288813497824,0.174831235036764,1
"34","lh_insula_thickness",0.146127152322108,-0.153624083430457,1
"35","rh_bankssts_thickness",0.872897933057631,-0.0206713059494761,1
"36","rh_caudalanteriorcingulate_thickness",0.360404014112529,-0.137818595423719,1
"37","rh_caudalmiddlefrontal_thickness",0.475984749291732,-0.0698541654543695,1
"38","rh_cuneus_thickness",0.967635556689364,-0.00457304052989734,1
"39","rh_entorhinal_thickness",0.554452560239513,-0.0779080019865928,1
"40","rh_fusiform_thickness",0.688647073784705,0.0410470572157155,1
"41","rh_inferiorparietal_thickness",0.923211935428446,0.00862578003943599,1
"42","rh_inferiortemporal_thickness",0.496807730396144,-0.0701165346096088,1
"43","rh_isthmuscingulate_thickness",0.0989165368593424,-0.248603359820231,1
"44","rh_lateraloccipital_thickness",0.0390488008043261,-0.207478950713355,1
"45","rh_lateralorbitofrontal_thickness",0.843221193414778,0.0206372692244764,1
"46","rh_lingual_thickness",0.100870106388178,-0.171587843747066,1
"47","rh_medialorbitofrontal_thickness",0.661846089641849,-0.0552080103397787,1
"48","rh_middletemporal_thickness",0.146124356822034,-0.14780535156237,1
"49","rh_parahippocampal_thickness",0.621517646066414,-0.0713558408322353,1
"50","rh_paracentral_thickness",0.431216981889661,0.0836641369300586,1
"51","rh_parsopercularis_thickness",0.968780130544497,0.00420297687690989,1
"52","rh_parsorbitalis_thickness",0.686782089569802,0.0514919581380982,1
"53","rh_parstriangularis_thickness",0.833312812676772,0.0220413294380913,1
"54","rh_pericalcarine_thickness",0.478939848301217,-0.0801557591237812,1
"55","rh_postcentral_thickness",0.196964533172447,0.156106306816897,1
"56","rh_posteriorcingulate_thickness",0.82504129150893,-0.0301583886940646,1
"57","rh_precentral_thickness",0.394707907215382,0.100097260584823,1
"58","rh_precuneus_thickness",0.516869616910188,-0.057170903065686,1
"59","rh_rostralanteriorcingulate_thickness",0.0972001059337944,-0.237882153457733,1
"60","rh_rostralmiddlefrontal_thickness",0.508166698578541,0.0564697545273239,1
"61","rh_superiorfrontal_thickness",0.321890283061081,-0.0877819149394595,1
"62","rh_superiorparietal_thickness",0.389462121622303,0.0740563172700154,1
"63","rh_superiortemporal_thickness",0.510985494502925,0.0646823344445131,1
"64","rh_supramarginal_thickness",0.242855917704836,-0.107639887871917,1
"65","rh_frontalpole_thickness",0.253734346258009,0.169741104750952,1
"66","rh_temporalpole_thickness",0.00394062272132874,0.361641182765055,0.267962345050354
"67","rh_transversetemporal_thickness",0.755144821437918,-0.0395885294672602,1
"68","rh_insula_thickness",0.815978760123097,-0.0264532523413911,1
